before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 780, 'reward': 0.119140625, 'group_hit': 0.90625, 'pg': 0.0006268555298447609, 'kl': 0.07547895610332489, 'grad_norm': 0.6486242413520813}
{'step': 785, 'reward': 0.125, 'group_hit': 0.8125, 'pg': 0.006921221036463976, 'kl': 0.07804691791534424, 'grad_norm': 0.6856977343559265}
{'step': 790, 'reward': 0.099609375, 'group_hit': 0.71875, 'pg': -0.013083858415484428, 'kl': 0.04857747256755829, 'grad_norm': 0.42442989349365234}
{'step': 795, 'reward': 0.1171875, 'group_hit': 0.8125, 'pg': -0.010669379495084286, 'kl': 0.04762750864028931, 'grad_norm': 0.6458881497383118}
{'step': 800, 'reward': 0.123046875, 'group_hit': 0.8125, 'pg': -0.004943026229739189, 'kl': 0.034224145114421844, 'grad_norm': 0.7475593090057373}
{'step': 805, 'reward': 0.1328125, 'group_hit': 0.875, 'pg': -0.025451648980379105, 'kl': 0.04997583106160164, 'grad_norm': 0.6724347472190857}
{'step': 810, 'reward': 0.150390625, 'group_hit': 0.84375, 'pg': -0.015364655293524265, 'kl': 0.05798855796456337, 'grad_norm': 0.6816812753677368}
{'step': 815, 'reward': 0.126953125, 'group_hit': 0.78125, 'pg': -0.018672844395041466, 'kl': 0.06626856327056885, 'grad_norm': 0.5916041135787964}
{'step': 820, 'reward': 0.095703125, 'group_hit': 0.6875, 'pg': -0.01379298698157072, 'kl': 0.052376504987478256, 'grad_norm': 0.5518715381622314}
{'step': 825, 'reward': 0.14453125, 'group_hit': 0.75, 'pg': -0.03491804748773575, 'kl': 0.1585364043712616, 'grad_norm': 0.8890681862831116}
{'step': 830, 'reward': 0.1171875, 'group_hit': 0.90625, 'pg': -0.009457945823669434, 'kl': 0.049268536269664764, 'grad_norm': 0.5578606724739075}
{'step': 835, 'reward': 0.1328125, 'group_hit': 0.875, 'pg': -0.017131520435214043, 'kl': 0.07451122254133224, 'grad_norm': 0.8133413791656494}
{'step': 840, 'reward': 0.130859375, 'group_hit': 0.8125, 'pg': -0.01743139885365963, 'kl': 0.05217863619327545, 'grad_norm': 0.6180979609489441}
{'step': 845, 'reward': 0.1171875, 'group_hit': 0.9375, 'pg': -0.010050760582089424, 'kl': 0.04486577957868576, 'grad_norm': 0.6555031538009644}
